SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CC1C(c2ccccc2)OCCN1N=O,0.8,1.45,1.77
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,7.62,6.47,7.33
CC(=O)c1cccc(S(N)(=O)=O)c1,0.05,0.63,0.4
NS(=O)(=O)c1cccc2cccnc12,0.36,0.86,0.84
O=C(CN1CCCCC1)Nc1ccccc1[N+](=O)[O-],1.88,1.78,1.98
NC(=O)NS(=O)(=O)c1ccccc1,-0.08,0.72,0.32
Cc1cc(OCCN(C)C)c(C(C)C)cc1O,3.29,2.47,3.37
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,3.49,3.34,3.44
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,4.2,3.91,3.47
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(F)cc1,3.76,3.79,3.01
COc1ccccc1N1CCNCC1,1.63,1,1.4
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,6.25,3.09,4.79
CCOc1ccc(NC(=O)OC)cc1,2.32,2.09,1.93
C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(OC(=O)C(=C)C)C2,2.83,2.49,2.34
COc1cccc(COC(C)=O)c1,2.16,1.82,1.59
O=C1CCC(=O)N1c1ccc([N+](=O)[O-])cc1,0.46,0.99,0.88
N#Cc1cccc2cccnc12,1.53,1.41,1.9
CN(C)C=CC#N,-0.66,0.08,0.2
CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,3.77,3.31,3.78
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,4.1,3.14,3.35
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,0.42,0.65,1.79
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,-1.26,0.79,0.3
CC1CCC(C)N1C(=O)Nc1ccccc1,3.09,2.68,2.37
Cc1ssc(=O)c1C,1.17,0.56,1.96
Cn1cnc([N+](=O)[O-])c1I,1.59,1.39,1.05
COc1nc(C)[nH]c1[N+](=O)[O-],0.96,0.24,0.56
COc1c([N+](=O)[O-])nc(C)n1C,1.51,0.61,0.77
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,5.69,5.47,5.34
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,6.33,5.99,6.01
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,7.62,6.47,7.33
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,7.62,6.47,7.33
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,8.91,6.93,8.66
CC(=O)Nc1ccc(C#N)cc1,0.65,1.02,0.83
O=C(CN1CCCCC1)Nc1cccc([N+](=O)[O-])c1,1.88,1.78,1.98
COc1ccc(N(C)C(C)=O)cc1,1.73,1.68,1.14
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,8.85,4.8,7.77
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC2(C)OC2C1C,1.37,1.03,2.2
COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(C)=O)C1(C)OC1C(C)C1CC(O)(NC(=O)O1)C(OC)C=CC=C(C)C2,3.48,2.19,3.17
Nc1ccc(S(=O)(=O)c2ccc(N)cc2N)cc1,-0.14,0.87,0.69
O=C(O)Cc1ccc(C2CCCCC2)cc1,4.25,3.1,3.66
Nc1c([N+](=O)[O-])ccc2ncccc12,0.88,1.31,1.16
CC(=O)NN1CC=CCC1,-0.1,0.8,0.08
CCN1CCc2nc(N)oc2CC1,0.8,0.91,0.49
N#Cc1cnc(Cl)cn1,0.13,-0.69,0.71
NC(=O)c1cncc(Cl)n1,-0.67,-0.83,-0.17
COc1cncc(C(N)=O)n1,-0.78,-1.21,-0.52
Clc1cccc2c1Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,7.56,4.33,6.44
CC(=O)c1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2,2.51,2.18,2.55
CCOC(=O)c1[nH]cnc1N=NN(C)C,1.15,0.79,1.14
CC(=O)Nc1ccc2cccnc2c1,1.09,1.54,1.14
Nc1onc2ccccc12,0.8,1.18,0.97
Cc1ccccc1NC1=NCCN1,2.08,1.83,1.51
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-0.08,0.41,0.99
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.18,2.84,2.91
CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],5.43,2.98,3.8
Cc1cccc(C)c1NC(=O)C1CNCCN1,-0.23,1.06,1.06
CCC1(CC(C)C(C)C)C(=O)NC(=O)NC1=O,2.61,1.44,2.16
O=C(Nc1ccccc1)C1CNCCN1,-0.21,0.5,0.08
Cc1ccccc1NC(=O)C1CNCCN1,0.34,0.79,0.57
O=C(COc1ccccc1)N1CCCCC1,2.12,1.86,2.21
O=C1C(O)=C(CC=C(Cl)Cl)C(=O)c2ccccc21,3.02,1.85,2.9
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,9.39,6.14,7.88
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1.45,1.94,2.02
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)=CC21,6.48,3.39,4.99
CC(=O)Nc1c(C)cc(O)c(C)c1C,0.44,1.97,2.14
Cc1cc(C)cc(NC(=O)N(C)C)c1,2.48,2.52,2.12
ClC1C(Cl)C(Cl)C(Br)C(Cl)C1Cl,4.35,4.23,4.31
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,3.06,3.27,4.26
O=[N+]([O-])c1nccn1CCN1CCOCC1,-0.27,0.59,0.19
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,5.43,2.55,2.88
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,4.86,4.34,5.59
CCC(C)N(C(=O)SCc1ccccc1)C(C)CC,4.57,3.59,4.86
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,-4.09,-1.69,-2.75
CCOC(=O)C(C#N)=NNc1cc(Cl)c(Cl)c(Cl)c1,5.25,2.78,3.72
COC(=O)C(C#N)=NNc1ccc2c(c1)OC(F)(F)C(F)(F)O2,4.92,0.44,3.13
COC(=O)C(C#N)=NNc1cc(C(F)(F)F)cc(C(F)(F)F)c1,4.75,2.77,3.27
COC(=O)C(C#N)=NNc1cc(Cl)c(Cl)c(Cl)c1,4.76,2.51,3.37
CC(=O)C(C#N)=NNc1ccc2c(c1)OC(F)(F)C(F)(F)O2,5.44,0.39,2.87
COC(=O)C(C#N)=NNc1ccc(Cl)cc1C(F)(F)F,4.43,2.38,2.99
CCOC(=O)C(C#N)=NNc1ccc(Cl)c(Cl)c1,4.6,2.25,3.06
COC(=O)C(C#N)=NNc1ccc(Cl)c(C(F)F)c1,3.82,2.25,2.49
CCOC(=O)C(C#N)=NNc1cccc(Cl)c1,3.96,1.71,2.39
COC(=O)C(C#N)=NNc1cc(C#N)ccc1C#N,1.92,-0.25,1.14
COC(=O)C(C#N)=NNc1ccccc1,2.82,0.87,1.38
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,2.41,2.16,2.33
COC(=O)C(C#N)=NNc1cc(Cl)c(Cl)cc1Cl,4.76,2.51,3.37
Cc1nc(N)sc1C(=O)CCN(C)C,0,0,0.65
NCCn1ccc(=O)c(O)c1,-2.16,-1.33,-1.65
CCOc1ccc(C=CC(C)=O)cc1,2.32,2.33,2.22
CC(=O)NC1=CC(=O)N(c2ccc(Cl)cc2)C1=O,-0.22,0.83,0.88
CC1=Nc2cc(Br)ccc2S(=O)(=O)N1,1.78,1.5,1.28
CC1=Nc2ccc(I)cc2S(=O)(=O)N1,2.06,1.65,1.11
CCc1ccc2c(c1)N=C(C)NS2(=O)=O,1.93,1.39,1.47
CC1=Nc2cc(N)c(Cl)cc2S(=O)(=O)N1,0.62,0.83,0.45
CC(=O)Nc1cc2c(cc1Cl)S(=O)(=O)NC(C)=N2,0.64,0.98,0.32
CC1=Nc2c(I)cc(Cl)cc2S(=O)(=O)N1,2.7,2.21,1.77
CCCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.52,1.95,2.32
CC(C)C1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.44,1.95,2.33
CC(C)CC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.94,2.23,2.57
CCC(C)C1=Nc2ccc(Cl)cc2S(=O)(=O)N1,2.94,2.23,2.78
O=S1(=O)NC(C2CCC2)=Nc2ccc(Cl)cc21,1.27,1.83,2.41
CC(C)(C)CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,3.39,2.5,2.78
O=S1(=O)NC(CCl)=Nc2cc(Cl)ccc21,1.79,1.65,1.94
CC=CC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.3,1.87,2.3
COCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,0.77,0.87,1.15
CC1=Nc2c([N+](=O)[O-])cc(Cl)cc2S(=O)(=O)N1,1.35,1.32,1.09
CC1=Nc2ccc(S(=O)(=O)N(C)C)cc2S(=O)(=O)N1,-0.05,0.4,0.16
CCCCC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,3.01,2.23,2.78
O=S1(=O)NC(C2CCCCC2)=Nc2ccccc21,1.61,1.84,2.66
O=S1(=O)NC(C2=CCCC2)=Nc2ccccc21,1.03,1.49,2.16
O=S1(=O)NC(C2CC=CC2)=Nc2ccccc21,0.9,1.49,1.76
O=S1(=O)NC(C2CC=CCC2)=Nc2ccccc21,1.4,1.76,2.21
O=S1(=O)NC(C2CC3C=CC2C3)=Nc2ccccc21,1.63,2.02,1.89
O=S1(=O)NC(c2cccs2)=Nc2ccccc21,0.38,1.13,2.15
O=S1(=O)NC(c2ccco2)=Nc2ccccc21,-0.07,0.34,1.59
O=S1(=O)NC(C(Cl)Cl)=Nc2cc(Cl)ccc21,1.97,1.95,2.39
NC1=NS(=O)(=O)c2ccc(Cl)cc2N1,-1.51,1.06,0.85
CCSCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1,2.11,1.95,2.24
O=C(CN1CCCCC1)Nc1ccc(F)cc1,2.27,2.27,2.29
CCN(CC)CC(F)(F)F,1.93,2.11,2.03
CCOC(=O)C(N)Cc1ccc(O)c(O)c1,0.34,0.78,1.02
O=C(Nc1ccccc1[N+](=O)[O-])c1ccccc1O,3.11,2.47,2.24
O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1O,4.59,3.33,3.68
COCCc1ccc(OCC(O)CNC(C)C)cc1,1.69,1.65,1.76
CN1CC(O)CN(C)C1=Nc1ncc([N+](=O)[O-])s1,2.39,0.43,-0.06
CC1CNC(=Nc2ncc([N+](=O)[O-])s2)N1,3.43,0.52,0.42
CN1C(=Nc2ncc([N+](=O)[O-])s2)NCC1(C)C,4.1,1.17,0.83
O=[N+]([O-])c1cnc(N=C2NCC(O)CN2)s1,1.97,-0.22,-0.47
O=C(Nc1ccc(Cl)cc1[N+](=O)[O-])c1ccccc1O,3.76,2.73,2.91
CSC1=NCCN1c1ncc([N+](=O)[O-])s1,1.89,1.78,1.45
CC(=O)OCCN1CCSC1=Nc1ncc([N+](=O)[O-])s1,1.89,2.23,1.29
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1.19,1.32,1.62
Cc1ccc(NS(=O)(=O)C(F)(F)F)cc1,3.63,1.99,3.87
COC(=O)c1cccn1C,1.26,0.56,1.28
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,5.46,4.67,4.9
Clc1ccc(-c2ccccc2Cl)c(Cl)c1,5.69,5.47,5.34
O=c1[nH]c(-c2ccccc2)nc2nn[nH]c12,-1.08,0.57,1.3
C=CCN(CC=C)C(=O)C(Cl)Cl,2.91,2.07,2
CSc1ccc(SC)nn1,1.03,1.31,2.37
CCOc1ccc2cc[nH]c2c1,2.63,1.76,2.46
N=C(N)NN=Cc1ccc(Br)cc1,0.94,1.99,1.34
Cc1c(C(N)=O)no[n+]1[O-],-1.33,-0.65,-1.48
Cc1no[n+]([O-])c1C(N)=O,-1.33,-0.65,-1.48
CCOC(=O)C(CC(C)C)NC(=O)CNC(=O)CNC(=O)CCCCSc1ncnc2nc[nH]c12,0.67,0.48,1.35
O=C(C=Cc1ccc([N+](=O)[O-])o1)NN=Cc1ccc([N+](=O)[O-])o1,0.88,1.14,1.84
Cc1c(Cl)cccc1Nc1ccccc1CC(=O)O,3.92,3.72,4.17
Nc1nc(-c2ccccn2)cc2ccccc12,1.96,1.8,2.61
CCOc1cnccn1,0.97,-0.2,0.4
O=c1[nH]c2ccccc2cc1-c1ccccc1,2.86,3.02,2.73
COc1ccc(C)c(OC)c1,2.7,1.9,2.28
CN(C)N=Nc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=O,0.06,-1.78,-2.78
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,1.54,1.66,2.03
NNC(=O)Nc1ccccc1O,-1.27,0.75,-0.02
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,4.28,4.28,3.61
CCCCC(=O)OCC(=O)C1(OC(=O)CCCC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.28,3.77,5.56
Clc1ccc(N2CCNCC2)cc1,2.19,1.83,2.08
CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2C1C(=O)O,2.29,2.68,2.72
CC1(C)C2CCC(CN)C1C2,3.23,2.5,1.68
CCCCC(=O)NN,-1.19,0.57,0.26
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-0.38,1.41,0.44
CCOC(=O)c1cnc2n(c1=O)CCCC2,1.66,0.67,0.33
CC(=O)OCCOC(=O)c1ccccc1,1.86,2.03,1.53
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,4.2,2.8,3.57
O=C(CN1CCCCC1)Nc1cccc(Cl)c1,2.71,2.4,2.75
Cc1cccc(NC(=O)CN2CCCCC2)c1,2.61,2.13,2.57
O=C(CN1CCCCC1)Nc1ccc([N+](=O)[O-])cc1,1.88,1.78,1.98
O=C(CN1CCCCC1)Nc1ccccc1Cl,2.71,2.4,2.75
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1,6.98,6.23,6.67
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,6.98,6.23,6.67
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,6.98,6.23,6.67
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,6.98,6.23,6.67
Clc1cc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)cc1Cl,7.62,6.47,7.33
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,7.62,6.47,7.33
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,7.62,6.47,7.33
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,7.62,6.47,7.33
O=[N+]([O-])c1ccc2c(O)cccc2c1,2.51,2.4,2.37
CN(C)c1ccc(C=NNC(=N)N)cc1,0.23,1.35,0.76
Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,7.62,6.47,7.33
Clc1ccccc1-c1c(Cl)cccc1Cl,5.69,5.47,5.34
Clc1ccc(-c2c(Cl)cccc2Cl)cc1,5.69,5.47,5.34
Clc1ccccc1-c1cccc(Cl)c1Cl,5.69,5.47,5.34
Clc1cccc(-c2cc(Cl)ccc2Cl)c1,5.69,5.47,5.34
Clc1cccc(-c2cccc(Cl)c2Cl)c1,5.69,5.47,5.34
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,5.69,5.47,5.34
Clc1ccc(-c2ccccc2Cl)cc1Cl,5.69,5.47,5.34
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,5.69,5.47,5.34
Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,5.69,5.47,5.34
Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,6.33,5.99,6.01
Cc1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1,1.95,2.37,3.31
O=C(CS(=O)(=O)c1ccccc1)c1ccc(Cl)cc1,2.05,2.64,3.49
Cc1c(N(C)C)c(=O)n(C)c(=O)n1C,-0.24,0.16,-0.32
Cc1cncc(Cl)n1,1.13,0.23,0.68
CC(C)OC(=O)N(C)C,1.27,1.35,0.95
CNC(=S)NCCSCc1c[nH]cn1,-0.03,0.23,0.78
,-,-,-
CC(=O)N(C)Nc1ccccc1,0.55,1.92,1.05
CC(C)N.O=C(O)CNCP(=O)(O)O,-,-,-
CS(=O)(=O)c1cccs1,0.38,0.17,1.14
CCCc1cssc1=S,3.85,1.96,3.26
CN(C)c1cnnc(N(C)C)c1,0.3,0.76,1.08
CCNC(=O)CNC(=O)C=[N+]=[N-],-0.83,-1.31,-2.63
CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,2.89,3.19,4.06
CC1C2CCC3C(O)C2(CC(O)C2(O)C1CC(O)C2(C)C)CC3(C)O,1.15,1.74,0.48
CC(=O)NC1CC1c1ccccc1,0.49,1.88,1.21
CCN(CC)C(C)C(=O)Nc1c(C)cccc1C,2.08,2.78,3.22
Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,8.87,5.83,8.65
Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O,-2.7,-0.05,-1.08
C=Cc1cnc([N+](=O)[O-])n1C,1.33,1.03,1.2
Cn1c(C(O)CO)cnc1[N+](=O)[O-],-1.13,-0.41,-0.46
COC(=O)Nc1cccc(C)c1,2.3,2.33,2.08
Cc1cnc2cccc(C)n2c1=O,2.24,1.07,0.72
Cc1cc(=O)n2c(n1)CCCC2C,2.54,1.25,1.06
Cc1cnc2ccccn2c1=O,1.69,0.77,0.21
CCOC(=O)C1=CNC2CCCCN2C1=O,-0.44,0.76,0.04
NNC(=O)c1cccc(I)c1,0.41,2.19,0.92
NNC(=O)c1ccc(I)cc1,0.41,2.19,0.92
NNC(=O)c1cccc(Br)c1,0.13,2.03,1.09
CCOC(=O)c1ccnnc1,0.27,0.48,0.42
CC1CCCC(C)C1O,2.47,1.88,2.14
CCCNCC(C)C,2.21,1.94,1.85
CCCNC(C)CC,2.21,1.94,1.91
CCCOc1c(OC)cc(CCN)cc1OC,2.56,1.67,2.08
CCOc1c(OC)cc(CCN)cc1OC,2.07,1.4,1.56
COc1cnc2ccccc2n1,1.65,1.02,1.82
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,8.21,4.57,7.11
Clc1cccc2c1Oc1ccccc1O2,4.99,2.52,3.78
Clc1ccc2c(c1)Oc1ccccc1O2,4.99,2.52,3.78
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,6.28,3.57,5.11
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,7.56,4.33,6.44
CC(=O)Nc1ccc(O)cc1C,0.46,1.38,1.17
Clc1ccccc1N1CCNCC1,2.19,1.83,2.08
Cc1ccccc1N1CCNCC1,2.09,1.56,1.9
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,4.6,3.56,4.81
O=Cc1cccc(Oc2ccccc2)c1,3.77,2.71,3.15
CC(=O)c1cc2cccc(OCC(O)CNC(C)C)c2o1,1.65,0.86,1.97
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,2.99,2.23,2.12
CC(=O)NCc1ccc(OCC(O)CNC(C)C)cc1,0.44,1.18,0.76
Clc1cc(Cl)cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,7.62,6.47,7.33
CCCOC(=O)C(N)Cc1ccc(O)c(O)c1,0.83,1.06,1.54
NC(=O)Cc1ccncc1,-0.64,-0.2,-0.28
S=C1CCCO1,1.42,0.26,1.18
CC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,1.49,1.92,1.41
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,4.88,4.09,5.56
CCCCCOC1OC(CO)C(O)C(O)C1O,0.41,-0.88,-0.32
CCCCCCOC1OC(CO)C(O)C(O)C1O,0.9,-0.6,0.14
O=[N+]([O-])c1ccc2oncc2c1,1.54,1.2,1.35
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,5.98,4.45,5.57
CC(=O)OCc1coc(Cc2ccccc2)c1,3.71,2.1,2.55
Cc1ccc2c(c1)nc(N)n2C,1.41,1.84,1.83
CNC(=O)c1cccs1,1.02,0.64,0.99
CCCCCCOc1ccc(N)cc1,3.61,2.77,3.31
CCOP(=O)(OCC)SCn1nnc2ccccc2c1=O,2.56,1.26,2.72
Cn1c(C=O)cnc1[N+](=O)[O-],0.14,-0.12,0.41
CN(C)C(=O)Nc1cccc(N)c1,0.47,1.38,0.41
CN(Cc1ccccc1)N=Nc1[nH]cnc1C(N)=O,1.28,1.33,1.24
NC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-0.38,0.47,0.13
O=C(NC(CO)C(O)c1ccc(NC(=O)C2CC2)cc1)C(Cl)Cl,-0.25,0.83,1
NC(=O)Nc1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-0.41,0.53,0.04
CC(C)(C)NC(=O)C=Cc1ccc([N+](=O)[O-])o1,1.84,1.36,1.85
,-,-,-
O=[N+]([O-])c1cnc(N2CCNC2=S)s1,0.67,-0.15,0.89
O=C(O)C1CCc2cc(Cl)ccc2O1,2.83,2.11,2.71
O=C(CBr)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,-0.03,1.01,0.72
O=C(CI)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,0.38,1.14,1.25
FC(F)(F)c1ccccc1N=C1NCCN1,1.56,2.53,1.97
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,7.61,5.45,6.38
CCCCCCCc1ccncc1,4.3,2.73,3.9
COc1ccc(C=[N+]([O-])C(C)(C)C)cc1,0.93,2.39,0.39
Cc1ccc(C=[N+]([O-])C(C)(C)C)cc1,1.4,2.96,0.89
Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,9.56,7.15,9.33
O=C(O)CCCCCCc1ccccc1,4.25,3.23,3.75
CC(=O)OC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)CC3OC(C)=O)OC2C)OC(C)C1O,1.15,1.66,2.76
CCN(CC)CCNC(=O)c1cc(Cl)ccc1OC,2.61,2.5,2.52
Cc1ccc(NN=C(C#N)C#N)cc1,3.05,0.84,1.89
CN(C)c1cncc(C#N)n1,0.52,-0.74,0.54
COC(=O)c1cncc(N(C)C)n1,1.2,-0.12,0.51
CN(C)c1cncc(C(N)=O)n1,-0.28,-0.86,-0.34
O=C(O)c1ccc2oc3ccccc3c(=O)c2c1,3.72,1.79,2.66
CSc1ccc2ccccc2n1,2.53,2.64,3.1
CC(O)c1ccc2ccccc2c1,2.67,2.94,2.51
COc1cccc(NC(=O)CN2CCCCC2)c1,2.15,1.59,2.07
Clc1cc2c(cc1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2,7.56,4.33,6.44
COC(=O)c1cnc([N+](=O)[O-])n1C,0.26,0.58,0.51
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,1.88,0.84,1.05
CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],4.24,3.37,4.21
CCNc1nc(Cl)nc(NCC2CC2)n1,2.17,2.49,2.71
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1CCC21CCC(=O)O1,3.53,4.46,3.5
O=C(Oc1ccc(Cl)cc1Cl)N1CCCC1,3.74,3.62,3.59
Clc1cc2c(cc1Cl)Oc1c(Cl)ccc(Cl)c1O2,6.92,4.09,5.78
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,6.34,3.97,5.06
COC(=O)c1c[nH]c(C)c1,1.26,0.56,0.92
Cc1cccc([N+](=O)[O-])c1C(N)=O,1.1,1.48,1.21
Cn1c(C=[N+](C)[O-])cnc1[N+](=O)[O-],-2.08,0.31,-1.7
CC(=O)c1ccccc1NCCO,0.33,1.01,0.88
CN(C)P(=O)(N(C)C)N1CCCC1,0.65,1.65,-0.65
N#Cc1cncnc1,-0.51,-0.53,-0.07
COCN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21,2.59,1.75,1.92
COCN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,2.79,2.14,2.12
CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(=O)O,5.09,3.42,4.75
CCCc1oc(C)cc(=O)c1O,1.05,0.13,0.92
COC1=C(C)C(=O)c2c(c(COC(N)=O)c3n2CCC3OC(C)=O)C1=O,0.53,-0.22,0.84
Cc1cc(Br)cc(C(N)=O)c1O,2.47,1.8,1.8
CNC(=O)c1cc(Br)cc(C)c1O,2.94,2.1,2.01
CCNC(=O)c1cc(Br)cc(C)c1O,3.43,2.38,2.35
CCCCNC(=O)c1cc(Br)cc(C)c1O,4.41,2.93,3.33
O=c1n[n+]([O-])ccn1C1OC(CO)C(O)C1O,-0.09,-1.55,-4.47
NC(=O)c1cncnc1,-1.31,-0.66,-0.95
CCOC(=O)c1cncnc1,0.27,0.48,0.26
CN(C)CCCNC(=O)c1ccccc1,1.39,1.98,1.24
NCCCc1cccnc1,0.86,0.65,0.56
CCn1c(=O)[nH]c(=O)c2[nH]cnc21,0.5,-0.13,-0.16
CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,0.99,0.2,0.36
CCCCn1c(=O)[nH]c(=O)c2[nH]cnc21,1.48,0.52,0.82
CCC12CC3CC(CC(N)(C3)C1)C2,4.06,3.07,2.16
O=c1ccn(C2CC(F)C(CO)O2)c(=O)[nH]1,-1.81,-0.05,-0.74
COC(=O)c1cnc(C)cn1,0.32,-0.34,0.1
CCOC(=O)c1cnc(C)cn1,0.81,0,0.44
COC(=O)c1cncc(C)n1,0.32,-0.34,0.1
CCOC(=O)c1cncc(C)n1,0.81,0,0.44
COC1OC(CNC(=O)N(C)N=O)C(O)C(O)C1O,-2.04,-1.87,-1.88
O=C1CCC(=O)N1c1ccc(Br)cc1,1.53,1.77,1.74
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,4.82,3.74,4.76
O=C1C(Cl)=C(Cl)C(=O)N1c1ccc(F)cc1,0.65,1.97,2.33
c1ccc2c(N3CCCCC3)ncnc2c1,3.51,2.32,3.01
Cc1nnc(-c2ccccc2)c(=O)n1N,-1.06,1.02,0.26
N#CNC(N)=Nc1ccccc1,-1.46,1.52,1.03
